Date,Close,shares,invested_amount,rate,Close_vs,shares_vs,invested_amount_vs,rate_vs
2020-07-22,62.08000183105469,22802.992039417517,67000,2012.850429194873,281.53668212890625,337.3362501698047,67000,41.75004273822912
2020-07-23,61.66999816894531,22802.992039417517,67000,1998.896234802019,278.1712646484375,337.3362501698047,67000,40.05559898730786
2020-07-24,59.650001525878906,22802.992039417517,67000,1930.1470297699395,276.3714904785156,337.3362501698047,67000,39.14943619680948
2020-07-27,62.220001220703125,22802.992039417517,67000,2017.615212728719,278.3869323730469,337.3362501698047,67000,40.16418487014724
2020-07-28,57.22999954223633,22802.992039417517,67000,1847.7839163843032,276.6620483398437,337.3362501698047,67000,39.29572828546286
2020-07-29,59.119998931884766,22802.992039417517,67000,1912.1087537524484,280.0086669921875,337.3362501698047,67000,40.98070707192552
2020-07-30,59.13999938964844,22802.992039417517,67000,1912.7894556616568,278.9869079589844,337.3362501698047,67000,40.46626474231676
2020-07-31,60.36000061035156,22802.992039417517,67000,1954.3113633090793,281.32110595703125,337.3362501698047,67000,41.64150295099587
2020-08-03,61.209999084472656,22819.2479598636,68000,1954.067862840596,283.0928039550781,340.8510865122353,68000,41.900720311593545
2020-08-04,68.94999694824219,22819.2479598636,68000,2213.804525284966,284.28338623046875,340.8510865122353,68000,42.49750157945987
2020-08-05,74.98999786376953,22819.2479598636,68000,2416.493170239704,286.0550842285156,340.8510865122353,68000,43.38556803182139
2020-08-06,71.37000274658203,22819.2479598636,68000,2295.014396427061,287.97686767578125,340.8510865122353,68000,44.34886505541215
2020-08-07,72.83999633789062,22819.2479598636,68000,2344.344026220416,288.1268005371094,340.8510865122353,68000,44.4240191417174
2020-08-10,71.83999633789062,22819.2479598636,68000,2310.7863086323805,289.0455017089844,340.8510865122353,68000,44.884519572031614
2020-08-11,67.30000305175781,22819.2479598636,68000,2158.4344960847625,286.7112731933594,340.8510865122353,68000,43.71448379891598
2020-08-12,71.19000244140625,22819.2479598636,68000,2288.9739970202118,290.6390991210937,340.8510865122353,68000,45.68331282112066
2020-08-13,74.87999725341797,22819.2479598636,68000,2412.801800823014,290.14227294921875,340.8510865122353,68000,45.43427790863346
2020-08-14,73.16000366210938,22819.2479598636,68000,2355.082741632651,290.14227294921875,340.8510865122353,68000,45.43427790863346
2020-08-17,75.05999755859375,22819.2479598636,68000,2418.8422002298635,291.0796813964844,340.8510865122353,68000,45.904155390627935
2020-08-18,75.16000366210938,22819.2479598636,68000,2422.1981768087203,291.6890869140625,340.8510865122353,68000,46.20962088002949
2020-08-19,75.48999786376953,22819.2479598636,68000,2433.272029033721,290.4515686035156,340.8510865122353,68000,45.58931284954612
2020-08-20,73.08999633789062,22819.2479598636,68000,2352.733455617424,291.3702697753906,340.8510865122353,68000,46.04981327986031
2020-08-21,73.13999938964844,22819.2479598636,68000,2354.411443906853,292.4107971191406,340.8510865122353,68000,46.5713792734822
2020-08-24,73.36000061035156,22819.2479598636,68000,2361.794182740231,295.3824768066406,340.8510865122353,68000,48.060938465027355
2020-08-25,75.93000030517578,22819.2479598636,68000,2448.0375067004775,296.4136657714844,340.8510865122353,68000,48.577823581301516
2020-08-26,75.23999786376953,22819.2479598636,68000,2424.8825996367123,299.4415283203125,340.8510865122353,68000,50.09554452185706
2020-08-27,73.44000244140625,22819.2479598636,68000,2364.47886159329,300.04150390625,340.8510865122353,68000,50.396283242956486
2020-08-28,76.04000091552734,22819.2479598636,68000,2451.728876117167,301.9913330078125,340.8510865122353,68000,51.37363819557525
2020-08-31,77.2300033569336,22819.2479598636,68000,2491.66264197495,300.9319763183594,340.8510865122353,68000,50.84263396233391
2020-09-01,78.70999908447266,22831.88961768593,69000,2504.4898708765804,303.7442932128906,344.1269501180891,69000,51.48782208569078
2020-09-02,77.0199966430664,22831.88961768593,69000,2448.5682053754103,308.1688842773437,344.1269501180891,69000,53.69451922848787
2020-09-03,67.80000305175781,22831.88961768593,69000,2143.481428632614,297.5010986328125,344.1269501180891,69000,48.374124245348646
2020-09-04,66.16000366210938,22831.88961768593,69000,2089.2143488680845,295.1200256347656,344.1269501180891,69000,47.186600493426326
2020-09-08,65.05000305175781,22831.88961768593,69000,2052.4847671128514,287.0112609863281,344.1269501180891,69000,43.142478105466644
2020-09-09,67.70999908447266,22831.88961768593,69000,2140.503224797529,292.67333984375,344.1269501180891,69000,45.9663533642097
2020-09-10,66.0999984741211,22831.88961768593,69000,2087.2287954932485,287.5549621582031,344.1269501180891,69000,43.41364075192025
2020-09-11,65.0999984741211,22831.88961768593,69000,2054.1391003951526,287.7706604003906,344.1269501180891,69000,43.521216952253305
2020-09-14,69.48999786376953,22831.88961768593,69000,2199.402841679445,291.5108947753906,344.1269501180891,69000,45.386601659783146
2020-09-15,72.16000366210938,22831.88961768593,69000,2287.752519456658,293.01080322265625,344.1269501180891,69000,46.13465806473079
2020-09-16,72.83000183105469,22831.88961768593,69000,2309.92255458334,291.8296203613281,344.1269501180891,69000,45.545561172556006
2020-09-17,66.87000274658203,22831.88961768593,69000,2112.7080020932117,289.2798767089844,344.1269501180891,69000,44.2739155107241
2020-09-18,68.2699966430664,22831.88961768593,69000,2159.0333732670742,285.9144897460937,344.1269501180891,69000,42.595480218685346
2020-09-21,70.72000122070312,22831.88961768593,69000,2240.1032777300115,282.8116149902344,344.1269501180891,69000,41.04796887617478
2020-09-22,72.2300033569336,22831.88961768593,69000,2290.068788015351,285.6707763671875,344.1269501180891,69000,42.4739318972564
2020-09-23,70.2699966430664,22831.88961768593,69000,2225.212763463265,279.05255126953125,344.1269501180891,69000,39.17319332037026
2020-09-24,69.41000366210938,22831.88961768593,69000,2196.7558579368947,279.8212585449219,344.1269501180891,69000,39.55657432068007
2020-09-25,73.62000274658203,22831.88961768593,69000,2336.063444005357,284.3020935058594,344.1269501180891,69000,41.79132224689736
2020-09-28,78.13999938964844,22831.88961768593,69000,2485.62875476884,289.0642395019531,344.1269501180891,69000,44.166369750742014
