Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,rate_vs,shares_vs,Close_vs
2020-05-05,200.3765411376953,201.00187758614533,203.51216552076679,199.68866422874422,200.3765411376953,1106400,102615.16267898561,0,22.373616485602838,102592.7890625,512.0,55.47751921058426,66000,,58.21831093070902,201.2073,194.6846,194.0699,201.3894,197.6966,227.2205047607422,0.4555,APD,24.95392070042004,337.0,244.5223846435547
2020-05-06,199.5546417236328,199.867303090359,202.34186302446707,199.15262711721138,199.5546417236328,1314400,102194.35017898561,0,22.373616485602838,102171.9765625,512.0,54.83992451361457,66000,,58.23656399210446,199.9049,195.6382,193.6724,201.308,197.7845,227.2205047607422,0.3179,APD,24.11373781227344,337.0,242.87692260742188
2020-05-07,202.60989379882812,202.0292135336336,204.06603145391102,199.35813066019992,202.60989379882812,761700,103758.63924148561,0,22.373616485602838,103736.265625,512.0,57.21005945679638,66000,,54.5268419071628,200.1228,196.1314,193.3155,201.2483,197.884,227.2205047607422,0.2976,APD,25.580460265997694,337.0,245.7494354248047
2020-05-08,208.57740783691406,206.43339329642518,208.64887680577198,204.7449780971794,208.57740783691406,808700,106814.00642898561,0,22.373616485602838,106791.6328125,512.0,61.83940368028122,66000,,66.44857048597655,202.1293,196.7639,193.0331,201.2335,198.0166,227.2205047607422,0.4431,APD,27.678474935705037,337.0,249.8583068847656
2020-05-11,207.85379028320312,204.5752282178276,208.62206461128235,203.58361848776386,207.85379028320312,852300,106443.51424148561,0,22.373616485602838,106421.140625,512.0,61.278051881038806,66000,,74.34510329254444,203.7945,197.5,192.727,201.1925,198.1435,227.2205047607422,0.4676,APD,27.69746995486637,337.0,249.8955078125
2020-05-12,205.7008514404297,207.8270090123321,209.17595004914472,205.5311279706154,205.7008514404297,1062800,105341.20955398561,0,22.373616485602838,105318.8359375,512.0,59.60789326361456,66000,,66.7300925557972,204.8593,197.923,192.3683,201.1316,198.2569,227.2205047607422,0.3699,APD,25.12953502851545,337.0,244.86631774902344
2020-05-13,201.75228881835938,205.33459780488798,208.01462293891927,199.47426472817023,201.75228881835938,1128400,103319.54549148561,0,22.373616485602838,103297.171875,512.0,56.544765896190306,66000,,65.01134539449487,205.2988,198.4599,191.9479,201.0369,198.3561,227.2205047607422,0.1442,APD,22.91288329696657,337.0,240.5251007080078
2020-05-14,201.5557403564453,198.0627848362264,201.68974978382641,196.10636442574466,201.5557403564453,958900,103218.91267898561,0,22.373616485602838,103196.5390625,512.0,56.392291937856974,66000,,60.222007771575555,205.088,199.0289,191.5229,200.9656,198.435,227.2205047607422,-0.0306,APD,24.393801372065703,337.0,243.4254150390625
2020-05-15,203.71762084960938,200.75173370383894,203.78908981630778,198.78638482922312,203.71762084960938,1441300,104325.79549148561,0,22.373616485602838,104303.421875,512.0,58.06938710831153,66000,,57.192587932221834,204.1161,199.3211,191.1402,200.9143,198.5058,227.2205047607422,-0.0898,APD,24.95392070042004,337.0,244.5223846435547
2020-05-18,213.4639892578125,210.76609359843408,215.58121828438556,210.69463826040962,213.4639892578125,1159300,109315.93611648561,0,22.373616485602838,109293.5625,512.0,65.63020623709942,66000,,65.41323401218204,205.2381,200.419,190.9263,200.9445,198.604,227.2205047607422,0.1649,APD,28.77019768998119,337.0,251.99639892578125
